ORF,Ca,Cd,Co,Cu,Fe,K,Mg,Mn,Mo,Na,Ni,P,S,Zn
YIR026C,-0.150511227,0.130596392,0.274788478,0.426860249,-0.346235244,-0.153137052,0.286576872,0.098016136,-0.073134584,1.5142124,0.243824078,-0.010318385,-0.04110791,-0.221643625
YIR027C,-0.06226239,-0.219824076,0.002695068,0.190242696,0.348419181,0.211450147,0.133025809,0.012637342,0.229660479,0.126212369,0.003326094,0.090241844,0.075178467,-0.582865025
YIR028W,-0.215717839,0.056349278,0.30795733,-0.070028495,0.444580348,0.33638733,0.089076463,0.10881256,-0.310781937,0.518260034,0.110047682,0.674425671,0.46658415,0.030230824
YIR029W,-0.261056563,-0.080853516,-0.354446145,-0.471928463,-0.646639016,-0.164235851,-0.315143184,-0.124617949,-0.622974261,-0.299154132,-0.408945867,-0.337796829,-0.567716103,-0.467663567
YIR030C,-0.187539866,0.017730141,0.372935495,-0.008235408,0.174424322,0.07504698,0.619045455,-0.01099222,-0.557089961,0.206719303,0.35660323,0.426398162,0.121471475,0.159175614
YIR031C,-0.10671975,0.012945172,-0.179075583,-0.150542989,-0.358472404,0.169066516,0.346157167,0.192123265,-0.299148644,0.01288037,-0.181552929,0.026179021,0.321499494,-0.214090043
YIR032C,0.00697569,0.296506915,0.349173924,0.25273034,-0.211266277,0.08650161,0.330881619,-0.522687418,-1.0276768,0.085650334,0.150016995,0.300583616,-0.037921556,-0.173018526
YIR033W,0.294319502,0.708926718,0.601887703,0.493373473,0.139161237,0.635162527,-0.929698875,-0.801784869,-1.418830447,-0.507315722,-0.292394597,0.054726806,0.211168822,0.682353342
YIR034C,-0.454359556,-1.111929343,0.230152054,-0.873204243,0.856969488,1.80024992,-2.074468162,-1.419879841,-0.280494466,-0.305863085,-0.645952848,-3.12025788,-0.570869129,1.440892019
YIR035C,0.008459322,-0.108699285,-0.092744187,-0.15212428,-0.298024104,0.261614727,-0.092434327,-0.143420696,-0.193409481,-0.173377291,-0.199972363,-0.124904093,-0.254848859,-0.114480328
YIR036C,0.327306485,1.469115817,0.178918863,0.317597896,0.01859061,-0.195992829,0.237295888,1.208971518,1.19831556,-1.04982817,0.37567184,0.406764174,0.190767443,0.853859402
YIR037W,0.633655415,0.181254491,0.204050207,0.065078038,0.050172041,-0.333217391,-0.849762008,0.38680968,0.858696625,0.437513326,0.65650983,-0.458271717,-0.251104535,0.331038309
YIR038C,0.331063696,0.318159017,0.163042406,0.10162286,-0.127706381,0.19163595,0.330040376,-0.227682222,-0.016471315,0.008837742,0.29530489,0.026270486,-0.108749311,0.306712497
YIR039C,0.595757007,0,-0.175743092,-0.171096543,0.018253348,0.268560449,0.341430991,0.223387423,-0.225372961,0.702481075,-0.239637474,0.022701937,4.61962787,-0.420265758
YIR042C,0.266989232,-0.08106003,-0.145689269,0.871789871,0.036293579,0.523122418,0.15833079,0.708995651,0.287625827,0.559904879,-0.261832764,0.956193973,0.195159823,0.3626093
YIR043C,0.027109237,-0.202995451,-0.276104753,-0.02838755,0.628783034,0.237587122,-0.147806486,0.415280947,0.548911452,-0.383156313,-0.431761061,-0.173499806,-0.543546939,-0.361164314
