"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Zn 0.02","Zn",0.049,"Fe",125.321412633707,55.1736462622607,2.27139986431217
"Cu 0.02","Cu",0.035,"Fe",61.0415481863538,55.1736462622607,1.10635334659958
"Fe 10","Fe",9.185,"Fe",64.0515934573153,55.1736462622607,1.16090919843968
"K 0.5","K",0.522,"Fe",44.6694395774899,55.1736462622607,0.809615506743194
"Mn 100","Mn",99.502,"Fe",52.7644255872702,55.1736462622607,0.956333850702225
"Cu 0.02","Cu",0.035,"Fe",55.0793139850477,55.1736462622607,0.998290265668419
"Na 0.5","Na",0.439,"Fe",59.3820994273448,55.1736462622607,1.07627650971407
"Ca 0.01","Ca",0.012,"Fe",48.4891036721363,55.1736462622607,0.878845371967073
"Fe 0.2","Fe",0.317,"Fe",23.4411710948717,55.1736462622607,0.424861735319199
"Cu 0.05","Cu",0.074,"Fe",65.2471042230837,55.1736462622607,1.18257734703521
"K 10","K",9.698,"Fe",97.7960123941611,55.1736462622607,1.77251312935347
"Fe 0.2","Fe",0.317,"Fe",24.1903062653462,55.1736462622607,0.438439506976949
"Na 20","Na",16.842,"Fe",66.6242567803189,55.1736462622607,1.20753767955863
"Cu 5","Cu",5.662,"Fe",46.2885555047746,55.1736462622607,0.838961327383512
"Zn 0.05","Zn",0.075,"Fe",96.373409666497,55.1736462622607,1.74672903089273
"Ca 0.5","Ca",0.53,"Fe",68.7153657922959,55.1736462622607,1.24543818376017
"Mo 2","Mo",2.42,"Fe",44.3237481064707,55.1736462622607,0.803349988793264
"Zn 5","Zn",6.002,"Fe",54.15720977582,55.1736462622607,0.981577500214338
"Mo 0.1","Mo",0.12,"Fe",47.4399236111064,55.1736462622607,0.859829408149081
"Mg 0.5","Mg",0.457,"Fe",56.4322035361538,55.1736462622607,1.02281084102926
"Fe 2","Fe",2.348,"Fe",47.0606743413831,55.1736462622607,0.8529556686844
"Mn 0.05","Mn",0.062,"Fe",31.9505237711694,55.1736462622607,0.579090307341603
"Cu 0.5","Cu",0.582,"Fe",71.3949430022894,55.1736462622607,1.29400443579391
"Zn 20","Zn",22.071,"Fe",63.0704274343155,55.1736462622607,1.1431259615237
"Na 2","Na",1.882,"Fe",56.1957893211973,55.1736462622607,1.01852592910169
"Ca 0.2","Ca",0.223,"Fe",66.1584440125978,55.1736462622607,1.19909501174025
"Zn 10","Zn",11.246,"Fe",49.9250647287081,55.1736462622607,0.904871584730794
"K 0.2","K",0.211,"Fe",54.7534942486006,55.1736462622607,0.992384914862016
"Mg 0.05","Mg",0.045,"Fe",61.2770332976831,55.1736462622607,1.11062141890008
"Zn 5","Zn",6.002,"Fe",53.7875531834439,55.1736462622607,0.974877624142725
"Na 2","Na",1.882,"Fe",57.5138582437282,55.1736462622607,1.04241539466766
"Mn 2","Mn",2.077,"Fe",53.0517124101484,55.1736462622607,0.961540808051257
"Mn 5","Mn",4.913,"Fe",50.6979781294186,55.1736462622607,0.91888032718433
"Fe 0","Fe",0.118,"Fe",15.7629537488419,55.1736462622607,0.285697154650877
"Fe 0.1","Fe",0.215,"Fe",22.0972833074034,55.1736462622607,0.400504313279692
"Mg 0.05","Mg",0.045,"Fe",64.490477393999,55.1736462622607,1.16886379209835
"Na 0.5","Na",0.439,"Fe",57.6682245568533,55.1736462622607,1.04521322159378
"Zn 5","Zn",6.002,"Fe",64.0244998952364,55.1736462622607,1.16041813859654
"Mn 0.01","Mn",0.035,"Fe",52.3921232665291,55.1736462622607,0.94958602187519
"Fe 0.01","Fe",0.124,"Fe",16.9593206157354,55.1736462622607,0.307380819732694
"Cu 0.2","Cu",0.237,"Fe",61.2349630750167,55.1736462622607,1.10985891314749
"K 0.1","K",0.107,"Fe",46.7595630650161,55.1736462622607,0.847498148713077
"K 0.2","K",0.211,"Fe",46.6770472671073,55.1736462622607,0.846002583284672
"Ca 0","Ca",0.002,"Fe",59.5009329986677,55.1736462622607,1.0784303200814
"Cu 2","Cu",2.269,"Fe",45.856567073771,55.1736462622607,0.831131711973462
"Zn 0.2","Zn",0.213,"Fe",62.073562004561,55.1736462622607,1.12505817921662
"Ca 5","Ca",5.658,"Fe",86.0842639715465,55.1736462622607,1.56024243100331
"Na 20","Na",16.842,"Fe",75.694178350087,55.1736462622607,1.37192633581411
"Fe 0.2","Fe",0.317,"Fe",25.4009310365511,55.1736462622607,0.460381590801722
"Fe 0.01","Fe",0.124,"Fe",20.0764942459644,55.1736462622607,0.363878329710772
"Ca 0.1","Ca",0.115,"Fe",48.8572063033744,55.1736462622607,0.885517083122222
"Zn 20","Zn",22.071,"Fe",48.3003094918829,55.1736462622607,0.875423553888277
"Cu 10","Cu",11.197,"Fe",47.9085364296007,55.1736462622607,0.868322825754051
"Mo 0.5","Mo",0.544,"Fe",47.1174895298041,55.1736462622607,0.853985420971405
"K 5","K",5.208,"Fe",75.1967854628303,55.1736462622607,1.36291129111519
"Mo 0.1","Mo",0.12,"Fe",46.8923240046172,55.1736462622607,0.849904386991584
