"BioSpecID","element_perturbed","rel_element_concentration_actual","element_measured","ng_perwell_BC","mean_ng_perwell_BC_AE","Ratio_to_AEngperwell"
"Ca 0.02","Ca",0.024,"Fe",60.4607721871796,55.1736462622607,1.09582701675701
"Fe 0.5","Fe",0.65,"Fe",31.1945665397606,55.1736462622607,0.565388888591508
"Mo 0.02","Mo",0.021,"Fe",47.1255483587707,55.1736462622607,0.854131483983596
"Mo 2","Mo",2.42,"Fe",44.3237481064707,55.1736462622607,0.803349988793264
"Na 20","Na",16.842,"Fe",79.8984648227112,55.1736462622607,1.44812732591434
"Ca 0.2","Ca",0.223,"Fe",49.9362347906585,55.1736462622607,0.905074037581151
"Na 0.5","Na",0.439,"Fe",59.3820994273448,55.1736462622607,1.07627650971407
"Fe 0.5","Fe",0.65,"Fe",37.4569759787445,55.1736462622607,0.678892524171734
"Mg 0.2","Mg",0.187,"Fe",53.1066826864397,55.1736462622607,0.962537122052874
"Ca 0.1","Ca",0.115,"Fe",62.1189177720642,55.1736462622607,1.12588023413914
"Cu 0.02","Cu",0.035,"Fe",57.1248583023863,55.1736462622607,1.0353649282277
"Cu 5","Cu",5.662,"Fe",46.2885555047746,55.1736462622607,0.838961327383512
"Na 5","Na",4.414,"Fe",57.1160136696065,55.1736462622607,1.03520462283955
"Zn 0.02","Zn",0.049,"Fe",120.691735902416,55.1736462622607,2.18748884800405
"Mo 0.2","Mo",0.239,"Fe",45.7777040656365,55.1736462622607,0.829702351880791
"Mo 5","Mo",5.931,"Fe",53.0002171401986,55.1736462622607,0.960607477132634
"Fe 2","Fe",2.348,"Fe",49.5447661029398,55.1736462622607,0.897978826112655
