"ORF","Significant"
"YMR309C",TRUE
"YPL211W",TRUE
"YLR351C",TRUE
"YLR328W",FALSE
"YNL123W",FALSE
"YHR170W",FALSE
"YJR132W",FALSE
"YLR195C",FALSE
"YNL200C",TRUE
"YKL151C",TRUE
"YLR285W",TRUE
"YOR206W",TRUE
"YLR002C",TRUE
"YPL093W",TRUE
"YNR053C",FALSE
"YDL014W",TRUE
"YHR072W-A",TRUE
"YOL041C",TRUE
"YNL175C",FALSE
"YDL148C",FALSE
"YNL110C",FALSE
"YNL061W",TRUE
"YPL043W",TRUE
"YLR197W",TRUE
"YOR310C",TRUE
"YDL213C",TRUE
"YGR103W",FALSE
"YJL010C",TRUE
"YIL038C",TRUE
"YJR072C",FALSE
"YDL046W",TRUE
"YDR432W",TRUE
"YBR170C",FALSE
"YMR091C",TRUE
"YNL183C",FALSE
"YOR209C",TRUE
"YGL067W",FALSE
"YGR043C",TRUE
"YNL251C",TRUE
"YHR133C",FALSE
"YJL041W",FALSE
"YGR159C",TRUE
"YER009W",TRUE
"YDR001C",TRUE
"YBR001C",TRUE
"YJL208C",FALSE
"YER006W",TRUE
"YDR150W",TRUE
"YOR098C",FALSE
"YMR047C",TRUE
"YKL057C",FALSE
"YKR082W",FALSE
"YGL092W",TRUE
"YER105C",TRUE
"YIL115C",FALSE
"YBL079W",FALSE
"YML103C",TRUE
"YJL039C",FALSE
"YLR335W",FALSE
"YGL172W",TRUE
"YGR119C",TRUE
"YAR002W",TRUE
"YJL061W",FALSE
"YDL116W",FALSE
"YJR042W",FALSE
"YPR091C",FALSE
"YKL120W",TRUE
"YNL099C",FALSE
